app_id,prompt_type,stack,feature_set,expected_surface,repo_path,docker_image,status
APP01,secure,flask,auth+crud+file_upload,medium,apps/app01,app01_image,not_generated
APP02,secure,express,auth+crud+file_upload,medium,apps/app02,app02_image,not_generated
APP03,secure,php,auth+crud+file_upload,medium,apps/app03,app03_image,not_generated
APP04,secure,react,auth+crud+file_upload,medium,apps/app04,app04_image,not_generated

APP05,fast,flask,auth+crud+file_upload,high,apps/app05,app05_image,not_generated
APP06,fast,express,auth+crud+file_upload,high,apps/app06,app06_image,not_generated
APP07,fast,php,auth+crud+file_upload,high,apps/app07,app07_image,not_generated
APP08,fast,react,auth+crud+file_upload,high,apps/app08,app08_image,not_generated

APP09,vague,flask,auth+crud+file_upload,unknown,apps/app09,app09_image,not_generated
APP10,vague,express,auth+crud+file_upload,unknown,apps/app10,app10_image,not_generated
APP11,vague,php,auth+crud+file_upload,unknown,apps/app11,app11_image,not_generated
APP12,vague,react,auth+crud+file_upload,unknown,apps/app12,app12_image,not_generated
